[ 00:04:35.916 -->  00:04:35.933] 3 SPEAKER_03
[ 00:04:35.933 -->  00:04:35.950] 2 SPEAKER_02
[ 00:04:35.950 -->  00:04:40.331] 3 SPEAKER_03
[ 00:04:36.001 -->  00:04:36.069] 2 SPEAKER_02
[ 00:04:36.069 -->  00:04:36.426] 4 SPEAKER_04
[ 00:04:36.426 -->  00:04:36.477] 2 SPEAKER_02
[ 00:04:39.244 -->  00:04:39.261] 4 SPEAKER_04
[ 00:04:39.397 -->  00:04:39.923] 1 SPEAKER_01
[ 00:04:40.331 -->  00:04:40.382] 1 SPEAKER_01
[ 00:04:40.857 -->  00:04:41.078] 1 SPEAKER_01
[ 00:04:40.925 -->  00:04:41.281] 3 SPEAKER_03
[ 00:04:41.078 -->  00:04:41.400] 2 SPEAKER_02
[ 00:04:41.281 -->  00:04:42.164] 1 SPEAKER_01
[ 00:04:42.164 -->  00:04:48.106] 2 SPEAKER_02
[ 00:04:42.215 -->  00:04:42.334] 1 SPEAKER_01
[ 00:04:42.470 -->  00:04:42.877] 1 SPEAKER_01
[ 00:04:48.242 -->  00:04:48.259] 2 SPEAKER_02
[ 00:04:48.259 -->  00:04:48.752] 0 SPEAKER_00
[ 00:04:48.752 -->  00:04:48.887] 2 SPEAKER_02
[ 00:04:49.108 -->  00:04:53.692] 4 SPEAKER_04
[ 00:04:54.796 -->  00:04:58.870] 4 SPEAKER_04
[ 00:04:58.276 -->  00:04:58.853] 3 SPEAKER_03
[ 00:04:58.870 -->  00:05:00.008] 3 SPEAKER_03
[ 00:05:00.008 -->  00:05:15.441] 4 SPEAKER_04
[ 00:05:04.524 -->  00:05:04.830] 0 SPEAKER_00
[ 00:05:15.441 -->  00:05:15.747] 0 SPEAKER_00
[ 00:05:15.747 -->  00:05:18.955] 4 SPEAKER_04
[ 00:05:18.989 -->  00:05:21.774] 4 SPEAKER_04
[ 00:05:21.943 -->  00:05:24.983] 3 SPEAKER_03
[ 00:05:22.758 -->  00:05:23.319] 4 SPEAKER_04
[ 00:05:24.303 -->  00:05:25.509] 4 SPEAKER_04
[ 00:05:25.288 -->  00:05:28.735] 3 SPEAKER_03
[ 00:05:25.543 -->  00:05:25.560] 4 SPEAKER_04
[ 00:05:27.920 -->  00:05:31.689] 4 SPEAKER_04
[ 00:05:31.994 -->  00:05:34.932] 4 SPEAKER_04
[ 00:05:36.001 -->  00:05:50.925] 4 SPEAKER_04
[ 00:05:50.280 -->  00:05:52.674] 1 SPEAKER_01
[ 00:05:52.062 -->  00:05:54.813] 4 SPEAKER_04
[ 00:05:52.691 -->  00:05:52.758] 1 SPEAKER_01
[ 00:05:52.843 -->  00:05:53.132] 1 SPEAKER_01
[ 00:05:54.185 -->  00:05:54.626] 1 SPEAKER_01
[ 00:05:55.577 -->  00:05:56.477] 4 SPEAKER_04
[ 00:05:56.477 -->  00:05:58.769] 3 SPEAKER_03
[ 00:05:57.546 -->  00:05:57.563] 2 SPEAKER_02
[ 00:05:57.563 -->  00:06:01.179] 4 SPEAKER_04
[ 00:05:58.769 -->  00:05:59.006] 2 SPEAKER_02
[ 00:05:59.346 -->  00:06:06.103] 2 SPEAKER_02
[ 00:06:01.179 -->  00:06:02.996] 3 SPEAKER_03
[ 00:06:02.996 -->  00:06:03.132] 0 SPEAKER_00
[ 00:06:03.132 -->  00:06:11.876] 4 SPEAKER_04
[ 00:06:06.595 -->  00:06:06.612] 2 SPEAKER_02
[ 00:06:06.629 -->  00:06:08.005] 2 SPEAKER_02
[ 00:06:08.005 -->  00:06:08.123] 3 SPEAKER_03
[ 00:06:11.502 -->  00:06:13.098] 3 SPEAKER_03
[ 00:06:11.994 -->  00:06:12.011] 4 SPEAKER_04
[ 00:06:12.028 -->  00:06:12.045] 4 SPEAKER_04
[ 00:06:12.487 -->  00:06:47.801] 4 SPEAKER_04
[ 00:06:14.371 -->  00:06:14.949] 3 SPEAKER_03
[ 00:06:20.602 -->  00:06:20.891] 0 SPEAKER_00
[ 00:06:47.801 -->  00:06:49.380] 2 SPEAKER_02
[ 00:06:48.565 -->  00:06:55.033] 4 SPEAKER_04
[ 00:06:55.271 -->  00:06:57.495] 4 SPEAKER_04
[ 00:06:55.543 -->  00:06:55.814] 3 SPEAKER_03
[ 00:06:56.663 -->  00:06:56.731] 3 SPEAKER_03
[ 00:06:56.731 -->  00:06:56.765] 2 SPEAKER_02
[ 00:06:56.765 -->  00:06:57.003] 3 SPEAKER_03
[ 00:06:57.003 -->  00:06:57.190] 2 SPEAKER_02
[ 00:06:57.190 -->  00:06:57.359] 3 SPEAKER_03
[ 00:06:57.359 -->  00:06:57.427] 2 SPEAKER_02
[ 00:06:57.427 -->  00:06:57.512] 3 SPEAKER_03
[ 00:06:57.512 -->  00:06:57.801] 2 SPEAKER_02
[ 00:06:57.801 -->  00:06:57.886] 3 SPEAKER_03
[ 00:06:57.886 -->  00:06:58.005] 2 SPEAKER_02
[ 00:06:58.005 -->  00:06:58.938] 3 SPEAKER_03
[ 00:06:58.276 -->  00:07:00.144] 4 SPEAKER_04
[ 00:06:58.938 -->  00:06:58.955] 2 SPEAKER_02
[ 00:06:58.955 -->  00:06:59.006] 3 SPEAKER_03
[ 00:06:59.006 -->  00:07:04.694] 2 SPEAKER_02
[ 00:07:01.910 -->  00:07:23.981] 4 SPEAKER_04
[ 00:07:07.139 -->  00:07:10.568] 2 SPEAKER_02
[ 00:07:15.101 -->  00:07:15.916] 2 SPEAKER_02
[ 00:07:24.813 -->  00:07:25.424] 4 SPEAKER_04
[ 00:07:25.594 -->  00:07:26.595] 4 SPEAKER_04
[ 00:07:25.696 -->  00:07:28.599] 3 SPEAKER_03
[ 00:07:28.022 -->  00:07:37.801] 4 SPEAKER_04
[ 00:07:33.319 -->  00:07:34.507] 3 SPEAKER_03
[ 00:07:37.292 -->  00:07:39.736] 3 SPEAKER_03
[ 00:07:39.159 -->  00:07:43.047] 4 SPEAKER_04
[ 00:07:43.947 -->  00:07:48.225] 4 SPEAKER_04
[ 00:07:48.378 -->  00:08:15.865] 4 SPEAKER_04
[ 00:07:49.753 -->  00:07:50.144] 0 SPEAKER_00
[ 00:08:15.865 -->  00:08:16.205] 0 SPEAKER_00
[ 00:08:16.205 -->  00:08:17.207] 4 SPEAKER_04
[ 00:08:17.546 -->  00:08:30.161] 4 SPEAKER_04
[ 00:08:22.996 -->  00:08:24.728] 2 SPEAKER_02
[ 00:08:30.382 -->  00:08:41.315] 4 SPEAKER_04
[ 00:08:32.249 -->  00:08:32.826] 1 SPEAKER_01
[ 00:08:33.030 -->  00:08:33.845] 1 SPEAKER_01
[ 00:08:41.315 -->  00:08:41.434] 2 SPEAKER_02
[ 00:08:41.434 -->  00:08:47.801] 4 SPEAKER_04
[ 00:08:41.859 -->  00:08:42.640] 2 SPEAKER_02
[ 00:08:47.495 -->  00:09:04.439] 3 SPEAKER_03
[ 00:08:55.679 -->  00:08:56.035] 0 SPEAKER_00
[ 00:08:56.035 -->  00:08:56.137] 1 SPEAKER_01
[ 00:08:56.137 -->  00:08:56.171] 0 SPEAKER_00
[ 00:08:57.054 -->  00:08:57.122] 0 SPEAKER_00
[ 00:08:57.122 -->  00:08:57.665] 1 SPEAKER_01
